parameter_id,MGP_BMI_019_001
parameter_name,T cells - % of CD45+
gene_accession_id,MGI:1345282
pvalue,0.4742302
analysis_id,4r62t061jt0qu0y
mouse_strain,C57BL
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
