analysis_id,dqom8ve3a4n82c8
pvalue,0.1105031
parameter_id,IMPC_IMM_052_001
parameter_name,Eosinophils
mouse_strain,C57BL
gene_accession_id,MGI:109585
gene_symbol,Pld1
mouse_life_stage,Early adult
