gene_symbol,Smyd2
analysis_id,jv18f4is9ca2x1m
mouse_life_stage,Early adult
gene_accession_id,MGI:1915889
pvalue,0.4066792
mouse_strain,129SV
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_026_001
