analysis_id,78026pqag66lvr0
parameter_id,IMPC_ACS_036_001
gene_symbol,Inpp1
parameter_name,% Pre-pulse inhibition - PPI4
mouse_strain,C57BL
pvalue,0.07404079
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
