parameter_name,Ulna
analysis_id,56h529ckj2032ac
gene_symbol,Atg4c
pvalue,0.7509475
mouse_life_stage,Early adult
mouse_strain,C52BL
gene_accession_id,MGI:2651854
parameter_id,IMPC_XRY_023_001
