mouse_life_stage,E12.5
analysis_id,9zv8wbmi2x8d5vq
parameter_id,MGP_IMM_125_001
gene_accession_id,MGI:1913483
pvalue,0.2025663
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_name,Eosinophils - % of CD45+
