parameter_id,JAXLA_CSD_077_001
gene_symbol,Dnajc6
mouse_life_stage,Early adult
gene_accession_id,MGI:1919935
analysis_id,2u7451y658783z5
mouse_strain,C57BL
parameter_name,Contact righting
pvalue,0.2414307
