gene_symbol,Traf6
mouse_strain,C57BL
analysis_id,457x28j5t6av5x6
pvalue,0.4458359
parameter_id,MGP_IMM_100_001
parameter_name,Resting NK cells - % of CD45+
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
