analysis_id,201oy9yjw6k6f6o
gene_accession_id,MGI:95835
parameter_name,Mean left eye lens density
pvalue,0.1547394
mouse_strain,C57BL
parameter_id,IMPC_EYE_056_001
mouse_life_stage,Early adult
gene_symbol,Hspa5
