analysis_id,eohs520zqd83010
gene_symbol,Arnt
pvalue,0.06916456
parameter_id,MGP_MLN_031_001
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
