gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
analysis_id,1c10l462se1p086
parameter_id,MGP_IMM_079_001
pvalue,0.7757261
mouse_strain,C57BL
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_life_stage,Early adult
