analysis_id,9bq22t5f40g6457
gene_symbol,Rab22a
gene_accession_id,MGI:105072
mouse_strain,C57BL
pvalue,0.6424249
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_007_001
parameter_name,BMC/Body weight
