analysis_id,415rd2i66d1f09y
parameter_name,Fusion of vertebrae
pvalue,0.2888412
mouse_strain,C57BL
gene_accession_id,MGI:1915325
parameter_id,M-G-P_006_001_026
gene_symbol,Lurap1
mouse_life_stage,Early adult
