parameter_id,ICS_FEA_016_001
mouse_life_stage,E9.5
pvalue,0.6227447
gene_symbol,Slc39a10
parameter_name,% Freezing duration habituation-1
analysis_id,b7wk23uvvdc26fu
gene_accession_id,MGI:1914515
mouse_strain,C57BL
