parameter_name,Global prepulse inhibition
gene_accession_id,MGI:1918345
pvalue,0.9692745
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kif24
analysis_id,9t7aem2ldb66f36
