analysis_id,zk34174m7o96h34
gene_accession_id,MGI:96646
pvalue,0.4141035
gene_symbol,Jun
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,E15.5
