parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
gene_symbol,Nemp2
pvalue,0.6322998
Mouse_life_stage,Early adult
Gene_accession_id,MGI:2444113
Mouse_strain,C57BL
analysis_id,g6c145l49di6npy
