parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:1346344
mouse_strain,B6J
analysis_id,rah776o54178qrk
mouse_life_stage,Early adult
gene_symbol,Nr0b2
parameter_name,Number of rears - total
pvalue,1.379862
