parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
pvalue,0.3139066
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
analysis_id,obcu06s42a1ucmo
