parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:107414
mouse_strain,C52BL
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
analysis_id,4j7a92059ty7w1f
pvalue,0.8127878
parameter_name,Tremor
