gene_symbol,Ddx27
analysis_id,74v1b14n6xuvyg4
gene_accession_id,MGI:2385884
parameter_name,Edema
mouse_strain,129SV
parameter_id,IMPC_GEO_064_001
pvalue,0.620802
mouse_life_stage,Early adult
