analysis_id,8058614zq310367
mouse_life_stage,Early adult
pvalue,0.1747316
gene_symbol,Cntfr
gene_accession_id,MGI:99605
mouse_strain,C57BL
parameter_name,Total CD8+ T cells - % of ab T cells
parameter_id,MGP_IMM_013_001
