analysis_id,xl30w8vka042u56
parameter_name,CV
gene_accession_id,MGI:1346088
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
pvalue,0.9037492
gene_symbol,Cd52
mouse_life_stage,Early adult
