gene_symbol,Mapkap1
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_IPG_011_001
pvalue,0.7103696
parameter_name,Initial response to glucose challenge
analysis_id,8iw35dbah33bse9
gene_accession_id,MGI:2444554
