analysis_id,48e2s17uv99y5p9
mouse_strain,C57BL
gene_accession_id,MGI:1914071
pvalue,0.9008922
gene_symbol,Bcs1l
parameter_name,MZB (CD21/35 high)
parameter_id,IMPC_IMM_071_001
mouse_life_stage,E9.5
