parameter_name,Periphery average speed
analysis_id,f41681208q92712
pvalue,0.9730355
parameter_id,HRWLLA_OFD_013_001
mouse_strain,C57BL
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
gene_symbol,Trim46
