parameter_name,Upper teeth appearance
gene_accession_id,MGI:2674093
mouse_life_stage,Early adult
pvalue,0.2863235
analysis_id,82i810996guq076
mouse_strain,C57BL
parameter_id,IMPC_CSD_069_001
gene_symbol,Psd4
