parameter_id,HMGULA_DYS_024_001
analysis_id,01dm3rxa71mfd25
gene_accession_id,MGI:1915033
parameter_name,Vibrissae - appearance
gene_symbol,Ahctf1
pvalue,0.928904
mouse_life_stage,Early adult
mouse_strain,C57BL
