analysis_id,3l4j2p62z67o66j
mouse_strain,C57BL
gene_accession_id,MGI:2653612
parameter_name,Lymphocyte differential count
parameter_id,IMPC_HEM_031_001
gene_symbol,Amigo1
pvalue,0.9122671
mouse_life_stage,Early adult
