analysis_id,2292xrw860l9398
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP2
gene_symbol,Trim46
parameter_id,ESLIM_011_001_702
gene_accession_id,MGI:2673000
pvalue,0.9728578
