parameter_id,CCP_LFO_001_001
pvalue,0.238999
gene_symbol,Trp53rkb
parameter_name,Weight
analysis_id,y769hf7m9g12e72
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
mouse_strain,C57BL
