parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_002
gene_symbol,Dnaaf9
mouse_strain,C57BL
gene_accession_id,MGI:1923029
analysis_id,q92x62s4404123d
pvalue,0.4411757
mouse_life_stage,Early adult
