mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:2444554
parameter_name,CV
analysis_id,k9bskab80n19b6b
pvalue,0.4633061
gene_symbol,Mapkap1
parameter_id,IMPC_ECG_003_001
