analysis_id,fu3si77h824t626
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
mouse_life_stage,Early adult
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_name,Retina (combined)
pvalue,0.7925398
