parameter_name,Center resting time
gene_symbol,Slx4ip
parameter_id,JAX_OFD_015_001
mouse_life_stage,Early adult
pvalue,0.1678547
mouse_strain,C57BL
gene_accession_id,MGI:1921493
analysis_id,2h87p275442b61s
