analysis_id,6ne26a4y8vrluw6
parameter_id,IMPC_HEM_006_001
parameter_name,Mean corpuscular hemoglobin
pvalue,0.851096
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
