parameter_name,Neural tube closure
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_life_stage,E12.5
pvalue,0.9064957
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
analysis_id,90170z98au8874f
