analysis_id,c9426v5h31f36cw
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_name,Red blood cell distribution width
gene_symbol,Cntfr
pvalue,0.3465303
parameter_id,IMPC_HEM_027_001
mouse_strain,C57BL
