parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
analysis_id,57fo3l53u65ex3z
pvalue,0.7617863
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
gene_symbol,F2
mouse_strain,C57BL
