gene_symbol,Kcng1
mouse_strain,C57BL
pvalue,0.8883312
gene_accession_id,MGI:3616086
parameter_name,Center permanence time
mouse_life_stage,Early adult
analysis_id,0ssxa5vh6nk0om8
parameter_id,IMPC_OFD_016_001
