analysis_id,mfiapgqcb8k93uz
pvalue,0.3365898
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_name,Right total retinal thickness
parameter_id,IMPC_EYE_062_001
