gene_symbol,Gja10
mouse_strain,C57BL
pvalue,0.4928337
parameter_id,MGP_IMM_078_001
parameter_name,Resting Treg cells - % of CD45+
analysis_id,29x1ow8o051li2d
gene_accession_id,MGI:1339969
mouse_life_stage,Early adult
