parameter_name,center - resting time
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
gene_symbol,Car13
mouse_strain,C57BL
pvalue,0.1167876
parameter_id,M-G-P_007_001_011
analysis_id,1ww4d808uum446g
