analysis_id,11ihov1220j5a2s
parameter_id,M-G-P_009_001_003
parameter_name,Body weight
mouse_life_stage,Early adult
gene_symbol,CASQ1
gene_accession_id,MGI:1309468
mouse_strain,C57BL
pvalue,0.1558304
