gene_symbol,BMI1
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
pvalue,0.9514887
analysis_id,45o8l41umir1y9a
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
