gene_symbol,Dnajc5b
mouse_strain,C57BL
parameter_id,IMPC_HEM_038_001
pvalue,0.5334412
mouse_life_stage,Early adult
parameter_name,Basophil differential count
gene_accession_id,MGI:1913576
analysis_id,o66579hxbag003g
