gene_symbol,Zyg11b
analysis_id,e8nf2g9t1xtibn2
parameter_name,Effector Treg cells - % of Treg
pvalue,0.3658422
mouse_life_stage,Early adult
parameter_id,MGP_MLN_009_001
gene_accession_id,MGI:2685277
mouse_strain,C57BL
