parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.09529253
parameter_id,IMPC_IMM_032_001
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
analysis_id,h598h5hh28d0022
