parameter_name,Fat mass
gene_accession_id,MGI:95457
mouse_strain,C57BL
pvalue,0.7462523
analysis_id,8plk8b899p2i8ts
parameter_id,IMPC_DXA_002_001
gene_symbol,Mecom
mouse_life_stage,E12.5
