gene_symbol,Pex19
parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
mouse_life_stage,E18.5
analysis_id,z7j4d5hj705e222
gene_accession_id,MGI:1334458
pvalue,0.4723893
mouse_strain,C57BL
