analysis_id,aq4f06466kc68jl
gene_accession_id,MGI:105072
parameter_id,M-G-P_007_001_008
pvalue,0.6794931
gene_symbol,Rab22a
parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
mouse_strain,C57BL
