gene_symbol,Exd1
parameter_id,MGP_MLN_063_001
analysis_id,ld218c94lo943o3
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
parameter_name,Total ab T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.916413
