analysis_id,lb5smvkogv7923d
gene_accession_id,MGI:1920638
parameter_id,IMPC_IMM_005_002
gene_symbol,Bpifa3
mouse_strain,C57BL
pvalue,1.039694
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
