parameter_name,Limb grasp
mouse_strain,C57BL
gene_symbol,Slc2a8
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_039_001
analysis_id,4q5o9c7m0i78mmi
pvalue,0.2918901
gene_accession_id,MGI:1860103
