analysis_id,11z028kh5g175y1
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Mecom
parameter_id,MGP_MLN_066_001
mouse_life_stage,E12.5
pvalue,0.219144
gene_accession_id,MGI:95457
