analysis_id,90724bn85s19mho
gene_accession_id,MGI:1919107
parameter_name,Hindpaw - size
gene_symbol,Slc17a9
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Early adult
pvalue,0.3740423
mouse_strain,C57BL
