parameter_name,Sodium
gene_accession_id,MGI:1914515
mouse_strain,C57BL
parameter_id,IMPC_CBC_001_001
pvalue,0.7098214
gene_symbol,Slc39a10
analysis_id,871l0p0p6n41l2n
mouse_life_stage,Early adult
