parameter_name,Platelet count
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
pvalue,0.4726416
analysis_id,256mx7hw762yx38
gene_symbol,Ppm1j
