gene_symbol,Cdin1
analysis_id,v68847r7gpdsbb3
gene_accession_id,MGI:3026886
pvalue,0.3468936
parameter_name,Periphery average speed
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,JAX_OFD_013_001
