analysis_id,u0d3171d8o6gx29
mouse_strain,C57BL
parameter_id,M-G-P_016_001_005
parameter_name,Mean-cell-volume
mouse_life_stage,E18.5
gene_symbol,Ola1
gene_accession_id,MGI:1914309
pvalue,0.4083543
