parameter_name,Cholesterol ratio
pvalue,0.5679228
parameter_id,IMPC_CBC_058_001
mouse_strain,C57BL
analysis_id,1kcp599gnkk5395
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_life_stage,Early adult
