mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,t60q00x533353tx
gene_symbol,Cisd2
parameter_name,Eye
pvalue,0.09168412
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:1914256
