analysis_id,8u85u815y5t5073
pvalue,0.3502406
gene_symbol,Rap2b
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
