analysis_id,u3b975kfsp7m5t4
gene_accession_id,MGI:1917810
pvalue,1.299979
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery resting time
gene_symbol,Wars2
